Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-09-03,The Hand of God,2021,https://boxd.it/272wTb,4.5,,eh giao,,2021-09-03
2021-09-04,Il buco,2021,https://boxd.it/274QeB,4,,🐄🐄🐄🐄,,2021-09-03
2021-09-05,Sundown,2021,https://boxd.it/27ei5P,3.5,,Tim rothon top piscion,,2021-09-04
2021-09-06,Peacock’s Paradise,2021,https://boxd.it/27nobn,3,,40 anni simp,,2021-09-05
2021-09-07,The Great Movement,2021,https://boxd.it/27wemt,3,,Ecco l'epilessia buonasera,,2021-09-06
2021-09-07,The Box,2021,https://boxd.it/27Fpi1,2,,Led Zeppelin >>>>>>>>>>>>,,2021-09-07
2021-09-08,Life of Crime: 1984-2020,2021,https://boxd.it/27Glor,4,,Peggio delle scimmie di wiseman,,2021-09-07
2021-09-09,The 7 Days of Bergamo,2021,https://boxd.it/27Qbpz,2,,Diamo boxol agli alpini,,2021-09-08
2021-09-09,Freaks Out,2021,https://boxd.it/27VAj7,2.5,,Eccolo il voto democristiano buonasera,,2021-09-09
2021-09-10,America Latina,2021,https://boxd.it/282QUd,1.5,,Servirebbe il lanciafiamme di Tarantino,,2021-09-10
2021-09-17,Viva l'Italia!,1961,https://boxd.it/28VIUT,4,,John Ford ma col sole mare e core,,2021-09-16
2021-09-18,Prince - Sign o' the Times,1987,https://boxd.it/297iaz,5,,"Senza parole.

Stop Making Sense per chads.",,2021-09-18
2021-09-20,Summer Interlude,1951,https://boxd.it/29l0Oz,4,,Memon rotton,,2021-09-19
2021-09-21,The Death of David Cronenberg,2021,https://boxd.it/29x1Pn,3,,Quando la demenza senile ti trasforma in Kanye,,2021-09-21
2021-09-22,Raw,2016,https://boxd.it/29DNb3,3,,"<a href=""https://boxd.it/wkVY"">Giulia</a> >>>>>>>",,2021-09-22
2021-09-26,The Giants,2021,https://boxd.it/2a63yX,3.5,,<i>Vespino bianco ❤</i>,,2021-09-25
2021-09-27,A Chiara,2021,https://boxd.it/2adqA7,3.5,,Veneto e Calabria palma d'oro ex aequo al peggiore accento d'italia,,2021-09-26
2021-09-29,Bitter Moon,1992,https://boxd.it/2avVHp,3.5,,È ora di sbalordire,,2021-09-28
2021-09-30,Annette,2021,https://boxd.it/2aCFBJ,4.5,,Bill burr > King Vidor,,2021-09-29
2021-10-01,Titane,2021,https://boxd.it/2aKnLx,3.5,,Gender theory has gone too far,,2021-09-30
