Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-03-21,The Hunt,2020,https://boxd.it/12kQpD,2,,,2020-03-21
2020-03-22,Tokyo Tribe,2014,https://boxd.it/12qDRB,3.5,,,2020-03-21
2020-03-23,The Platform,2019,https://boxd.it/12ytwJ,3,Yes,,2020-03-22
2020-03-23,"Like Father, Like Son",2013,https://boxd.it/12zfe9,3,,,2020-03-22
2020-03-24,The Invisible Man,2020,https://boxd.it/12GnP7,3,,,2020-03-23
2020-03-25,Onward,2020,https://boxd.it/12MHav,4,,,2020-03-24
2020-03-26,Hope and Glory,1987,https://boxd.it/12UJGp,4,,,2020-03-26
2020-03-27,Death by Hanging,1968,https://boxd.it/1316jF,4,,,2020-03-27
2020-03-28,The Fisher King,1991,https://boxd.it/13a4rP,4,,,2020-03-28
2020-03-29,The Room,1992,https://boxd.it/13g27v,3,,,2020-03-29
2020-03-30,The World,2004,https://boxd.it/13oZj7,4.5,,,2020-03-30
2020-03-31,Poison,1991,https://boxd.it/13wkit,3.5,,,2020-03-31
2020-04-04,Satantango,1994,https://boxd.it/13Y73h,5,,,2020-04-03
2020-04-04,Twisted Pair,2018,https://boxd.it/141Sxf,4.5,,,2020-04-04
2020-04-05,Singin' in the Rain,1952,https://boxd.it/145GoD,5,Yes,,2020-04-04
2020-04-05,Sonic the Hedgehog,2020,https://boxd.it/146UuH,3,,,2020-04-05
2020-04-06,Cube,1997,https://boxd.it/14bDip,3,,,2020-04-05
2020-04-06,Southland Tales,2006,https://boxd.it/14flcB,4,Yes,,2020-04-06
2020-04-07,The Maltese Falcon,1941,https://boxd.it/14m0IP,4,,,2020-04-06
2020-04-08,The Other Side of the Wind,2018,https://boxd.it/14sXKn,4.5,Yes,,2020-04-07
2020-04-08,Fear,1954,https://boxd.it/14tXD9,2.5,,,2020-04-08
2020-04-10,Li'l Quinquin,2014,https://boxd.it/14GLEF,4,,,2020-04-09
2020-04-11,Reconstruction,1970,https://boxd.it/14LS1P,4,,,2020-04-10
2020-04-11,The Quiet Man,1952,https://boxd.it/14Petd,3.5,,,2020-04-10
2020-04-12,Q,1982,https://boxd.it/14Vt4z,3.5,,,2020-04-11
2020-04-12,All About Eve,1950,https://boxd.it/14XN1T,4.5,,,2020-04-11
2020-04-12,The Grapes of Wrath,1940,https://boxd.it/14ZnaT,5,Yes,,2020-04-12
2020-04-13,The Island,2006,https://boxd.it/1540Gx,3,,,2020-04-12
2020-04-13,Sleuth,1972,https://boxd.it/157lZ7,4,,,2020-04-12
2020-04-14,The Treasure of the Sierra Madre,1948,https://boxd.it/15dVl5,4.5,,,2020-04-13
2020-04-14,The Irishman,2019,https://boxd.it/15hmQF,4,Yes,,2020-04-13
2020-04-15,Godzilla,1954,https://boxd.it/15mbZL,4.5,,,2020-04-14
2020-04-15,Ballad of a Soldier,1959,https://boxd.it/15psB3,3.5,,,2020-04-15
2020-04-16,CoinCoin and the Extra-Humans,2018,https://boxd.it/15wftJ,4,,,2020-04-15
2020-04-16,Godzilla Raids Again,1955,https://boxd.it/15wg4P,2.5,,,2020-04-15
2020-04-17,King Kong vs. Godzilla,1962,https://boxd.it/15AEBh,3,,,2020-04-16
