Date,Name,Year,Letterboxd URI,Rating
2019-09-10,Lost Highway,1997,https://boxd.it/29Wc,5
2019-09-10,The House by the Sea,2017,https://boxd.it/gLyA,3.5
2019-09-10,The Man Who Killed Don Quixote,2018,https://boxd.it/9rkY,4
2019-09-10,The Belly of an Architect,1987,https://boxd.it/1IWO,4.5
2019-09-10,BlacKkKlansman,2018,https://boxd.it/hxL8,4
2019-09-10,Casualties of War,1989,https://boxd.it/1WZ8,4
2019-09-10,First Reformed,2017,https://boxd.it/go9C,4.5
2019-09-10,Dead or Alive: Final,2002,https://boxd.it/1b3c,3.5
2019-09-10,The Witch,2015,https://boxd.it/9X0m,4
2019-09-10,Phantom of the Paradise,1974,https://boxd.it/1s34,4
2019-09-10,Detroit,2017,https://boxd.it/el3C,4
2019-09-10,"Good Morning, Night",2003,https://boxd.it/1yby,4
2019-09-10,Love Me Tonight,1932,https://boxd.it/1iTa,4
2019-09-10,True Grit,2010,https://boxd.it/Sog,3.5
2019-09-10,Us,2019,https://boxd.it/gnV6,4
2019-09-10,The Whispering Star,2015,https://boxd.it/c2y8,4
2019-09-10,It Follows,2014,https://boxd.it/87wo,3.5
2019-09-10,Goodnight Mommy,2014,https://boxd.it/8Niy,3.5
2019-09-10,Easy,2017,https://boxd.it/gIZS,3.5
2019-09-10,Big Trouble in Little China,1986,https://boxd.it/21em,4
2019-09-10,All the President's Men,1976,https://boxd.it/29lU,4
2019-09-10,Alexander Nevsky,1938,https://boxd.it/1WKC,4
2019-09-10,The Hidden Fortress,1958,https://boxd.it/295M,4
2019-09-10,Drugstore Cowboy,1989,https://boxd.it/2aj6,4
2019-09-10,Billy Lynn's Long Halftime Walk,2016,https://boxd.it/9g2Y,3
2019-09-10,Embrace of the Serpent,2015,https://boxd.it/baba,4
2019-09-10,A Taxi Driver,2017,https://boxd.it/fwac,4
2019-09-10,The Death of Stalin,2017,https://boxd.it/ea9Y,3.5
2019-09-10,The Beyond,1981,https://boxd.it/1FtY,4
2019-09-10,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,4
2019-09-10,Elle,2016,https://boxd.it/bdhq,4.5
2019-09-10,The Traitor,2019,https://boxd.it/l8d4,4
2019-09-10,Bone Tomahawk,2015,https://boxd.it/9kiw,3.5
2019-09-10,Foolish Wives,1922,https://boxd.it/1czy,4
2019-09-10,Gran Torino,2008,https://boxd.it/1Qzy,4
2019-09-10,Good Time,2017,https://boxd.it/fcFu,4
2019-09-10,Catch Me If You Can,2002,https://boxd.it/29VS,4.5
2019-09-10,C'est la vie!,2017,https://boxd.it/fk34,3.5
2019-09-10,A Fantastic Woman,2017,https://boxd.it/fcGi,3.5
2019-09-10,Martyrs,2008,https://boxd.it/1Yqu,4
2019-09-10,Carol,2015,https://boxd.it/7DPK,4
2019-09-10,The Story of the Last Chrysanthemum,1939,https://boxd.it/O1i,4
2019-09-10,Guardians of the Galaxy,2014,https://boxd.it/3VH2,3.5
2019-09-10,Tinker Tailor Soldier Spy,2011,https://boxd.it/FRY,4
2019-09-11,Utamaro and His Five Women,1946,https://boxd.it/3sOy,4
2019-09-11,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/27Qw,4
2019-09-11,Blood and Sand,1941,https://boxd.it/S2Y,4
2019-09-11,A Quiet Passion,2016,https://boxd.it/cMXe,4
2019-09-11,A Bigger Splash,2015,https://boxd.it/azgs,3.5
2019-09-11,Suspiria,2018,https://boxd.it/cioI,4
2019-09-11,Frankenstein,1931,https://boxd.it/25Te,4
2019-09-11,Fury,1936,https://boxd.it/1NJg,4
2019-09-11,I Was a Male War Bride,1949,https://boxd.it/1z4o,4
2019-09-11,Citizenfour,2014,https://boxd.it/9eSe,4
2019-09-11,White Heat,1949,https://boxd.it/1Lw0,4.5
2019-09-11,Wonder Wheel,2017,https://boxd.it/fcGC,3.5
2019-09-11,The Homesman,2014,https://boxd.it/7SXO,3.5
2019-09-11,The Nile Hilton Incident,2017,https://boxd.it/fb06,3.5
2019-09-11,Children of Men,2006,https://boxd.it/1Y2i,4
2019-09-11,Gravity,2013,https://boxd.it/GZY,2.5
2019-09-11,Roma,2018,https://boxd.it/f69M,4
2019-09-11,Burden of Dreams,1982,https://boxd.it/XGk,3.5
2019-09-11,The Devil's Candy,2015,https://boxd.it/bWrU,3
2019-09-11,Darkest Hour,2017,https://boxd.it/dZZa,3
2019-09-11,The Crescent,2017,https://boxd.it/gO9y,3.5
2019-09-11,Red Sparrow,2018,https://boxd.it/e7Pi,3.5
2019-09-11,Dawson City: Frozen Time,2016,https://boxd.it/eAmk,3.5
2019-09-11,3 Faces,2018,https://boxd.it/iLoE,3.5
2019-09-11,The Fury,1978,https://boxd.it/1RA8,3.5
2019-09-11,The Great Beauty,2013,https://boxd.it/5ty6,3.5
2019-09-11,Sami Blood,2016,https://boxd.it/enoW,3
2019-09-11,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,2.5
2019-09-11,Happy End,2017,https://boxd.it/dZ2C,3.5
2019-09-11,Dolls,1987,https://boxd.it/1xQq,3.5
2019-09-11,"Don't Worry, He Won't Get Far on Foot",2018,https://boxd.it/fLeo,3
2019-09-11,Green Room,2015,https://boxd.it/a75m,3.5
2019-09-11,House on the Edge of the Park,1980,https://boxd.it/1p3g,3
2019-09-11,The Square,2017,https://boxd.it/e5YW,3.5
2019-09-11,Bernie,2011,https://boxd.it/3eWe,3
2019-09-11,Re-Animator,1985,https://boxd.it/28hM,3.5
2019-09-11,The Laundromat,2019,https://boxd.it/iLUK,3.5
2019-09-11,Yakuza Apocalypse,2015,https://boxd.it/8Kd6,3.5
2019-09-11,Where I've Never Lived,2017,https://boxd.it/hg92,3.5
2019-09-11,Ready Player One,2018,https://boxd.it/aZes,3.5
2019-09-11,The Grey,2011,https://boxd.it/2xZE,3.5
2019-09-11,Obsession,1976,https://boxd.it/23QM,3.5
2019-09-11,The Squid and the Whale,2005,https://boxd.it/1VAG,3.5
2019-09-11,The Order of Things,2017,https://boxd.it/gZNk,3.5
2019-09-11,Rainbow: A Private Affair,2017,https://boxd.it/h3yo,3.5
2019-09-11,Bad Santa,2003,https://boxd.it/1WYk,3.5
2019-09-11,Adaptation.,2002,https://boxd.it/26mA,3.5
2019-09-11,Only Lovers Left Alive,2013,https://boxd.it/4O1U,4
2019-09-11,Revenge,2017,https://boxd.it/gL9g,3.5
2019-09-11,The Young Karl Marx,2017,https://boxd.it/e1qc,3.5
2019-09-11,"Nico, 1988",2017,https://boxd.it/gYxq,3.5
2019-09-11,Shinjuku Triad Society,1995,https://boxd.it/1aZa,3.5
2019-09-11,Gone Girl,2014,https://boxd.it/6hQu,4
2019-09-11,Inherent Vice,2014,https://boxd.it/5hla,4.5
2019-09-11,Nanook of the North,1922,https://boxd.it/29Rc,4
2019-09-11,The Post,2017,https://boxd.it/fTeG,3.5
2019-09-11,The Mule,2018,https://boxd.it/idcY,3.5
2019-09-11,Hell or High Water,2016,https://boxd.it/bfGM,3.5
2019-09-11,Tale of Tales,2015,https://boxd.it/a89u,3.5
2019-09-11,Coco,2017,https://boxd.it/bYJQ,3.5
2019-09-11,A Ciambra,2017,https://boxd.it/gaz2,3.5
2019-09-11,My Own Private Idaho,1991,https://boxd.it/2ak4,3.5
2019-09-11,I Am Not Your Negro,2016,https://boxd.it/etXy,3.5
2019-09-11,An Officer and a Spy,2019,https://boxd.it/dZbE,4
2019-09-11,"Santiago, Italia",2018,https://boxd.it/kySK,3.5
2019-09-11,After the Storm,2016,https://boxd.it/d0HY,3.5
2019-09-11,Personal Shopper,2016,https://boxd.it/bkGM,3.5
2019-09-11,Split,2016,https://boxd.it/dgSy,3.5
2019-09-11,Addio fottuti musi verdi,2017,https://boxd.it/gQ7Y,2.5
2019-09-11,The Big Sick,2017,https://boxd.it/eHvy,3.5
2019-09-11,Children of the Night,2016,https://boxd.it/f3sc,2
2019-09-11,Smoke & Mirrors,2016,https://boxd.it/cjtY,3
2019-09-11,The Great Yokai War,2005,https://boxd.it/XZm,3
2019-09-11,The Black Cat,1981,https://boxd.it/1tL2,3
2019-09-11,Rainy Dog,1997,https://boxd.it/1b08,3
2019-09-11,The Happiness of the Katakuris,2001,https://boxd.it/1KDY,3
2019-09-11,Miss Sloane,2016,https://boxd.it/d4QA,3
2019-09-11,Fudoh: The New Generation,1996,https://boxd.it/1aUE,3
2019-09-11,Sicario: Day of the Soldado,2018,https://boxd.it/e4fG,3
2019-09-11,Lost in La Mancha,2002,https://boxd.it/1Cie,3
2019-09-11,Widows,2018,https://boxd.it/e6gc,2
2019-09-11,Murder on the Orient Express,1974,https://boxd.it/24IY,3.5
2019-09-11,Hostiles,2017,https://boxd.it/dpiO,2.5
2019-09-11,Still Alice,2014,https://boxd.it/8Nhq,3
2019-09-11,Elf,2003,https://boxd.it/1VyK,3.5
2019-09-11,Everything You Want,2017,https://boxd.it/glg6,3
2019-09-11,Love and Bullets,2017,https://boxd.it/gM0k,3
2019-09-11,12 Years a Slave,2013,https://boxd.it/2D2e,2
2019-09-11,Virgin Mountain,2015,https://boxd.it/aorY,2.5
2019-09-11,Barrage,2017,https://boxd.it/f8e0,2.5
2019-09-11,Manifesto,2015,https://boxd.it/diI6,2
2019-09-11,Suburbicon,2017,https://boxd.it/dQ8Q,2
2019-09-11,Border,2018,https://boxd.it/iMbG,2
2019-09-11,Lucia's Grace,2018,https://boxd.it/iPiq,2
2019-09-11,Venom,2018,https://boxd.it/b8wA,1.5
2019-09-11,Waiting for the Barbarians,2019,https://boxd.it/igTw,2
2019-09-11,Cinderella the Cat,2017,https://boxd.it/gV8i,3.5
2019-09-11,Belluscone: A Sicilian Story,2014,https://boxd.it/95DY,4
2019-09-11,Arrival,2016,https://boxd.it/aNGk,3
2019-09-11,Control,2007,https://boxd.it/22IC,4
2019-09-11,Killing,2018,https://boxd.it/jlhk,4
2019-09-13,The Assassin,2015,https://boxd.it/7rdE,4
2019-09-14,A Better Tomorrow III: Love and Death in Saigon,1989,https://boxd.it/ZQm,4.5
2019-09-15,Too Old to Die Young,2019,https://boxd.it/mwtW,2.5
2019-09-15,The Handmaiden,2016,https://boxd.it/948A,4.5
2019-09-17,Beauty and the Beast,1991,https://boxd.it/1XhG,4
2019-09-18,Hunger,2008,https://boxd.it/1Wso,3
2019-09-18,Shame,2011,https://boxd.it/2CxU,2.5
2019-09-18,City Lights,1931,https://boxd.it/29ki,5
2019-09-18,Nashville,1975,https://boxd.it/25GE,5
2019-09-18,Laurence Anyways,2012,https://boxd.it/3HQu,4
